"ID","word","tagType","sentencenumber"
"14051","dinleyin","Other","10"
"14052","hüzünle","Other","10"
"14053","dinleyin","Other","10"
"14055","RT","Other","11"
"14056","@yakupgulerr","Person","11"
"14058","Hayırlı","Other","11"
"14059","olsun","Other","11"
"14060","bozkurt","Other","11"
"14061","yürekli","Other","11"
"14062","abim","Other","11"
"14063","basarilarinin","Other","11"
"14064","devamini","Other","11"
"14065","dilerim.","Other","11"
"14066","#AyyıldızKolye","Product","11"
"14067","@ahmetsafak_tc","Person","11"
"14070","RT","Other","12"
"14071","@murtezax","Person","12"
"14073","@ahmetsafak_tc","Person","12"
"14074","@kursattdemirci","Person","12"
"14075","albümün","Other","12"
"14076","için","Other","12"
"14077","tşk","Other","12"
"14078","çok","Other","12"
"14079","tşk","Other","12"
"14081","RT","Other","13"
"14082","@ReisiFener","Person","13"
"14084","@ahmetsafak_tc","Person","13"
"14085","ağzına","Other","13"
"14086","sağlık","Other","13"
"14087","abi","Other","13"
"14088","hasreti","Other","13"
"14089","dindirdik","Other","13"
"14090","sonunda","Other","13"
"14093","#AyyıldızKolye","Other","13"
"14095","RT","Other","14"
"14096","@ACIGMA_KUN","Person","14"
"14098","#AyyıldızKolye","Product","14"
"14099","\nHakikaten","Other","14"
"14100","afili","Other","14"
"14102","\nAlbüm","Other","14"
"14103","kapağı","Other","14"
"14104","yıkılıyoor","Other","14"
"14106","\n@ahmetsafak_tc","Person","14"
"14107","https","Other","14"
"14108","//t.co/lf9VvquVXE","Other","14"
"14110","RT","Other","15"
"14111","@zonenotion","Person","15"
"14114","Ahmet","Person","15"
"14115","Şafak'ın","Person","15"
"14116","yeni","Other","15"
"14117","albümü","Other","15"
"14118","#AyyıldızKolye","Product","15"
"14119","#iTunes'ta","Organization","15"
"14120","yayında!","Other","15"
"14121","Hemen","Other","15"
"14122","dinlemek","Other","15"
"14123","için;","Other","15"
"14124","https","Other","15"
"14125","//t.co/rLW8U5e8SW","Other","15"
"14126","https","Other","15"
"14127","//t.co/Y…","Other","15"
"14129","RT","Other","16"
"14130","@kusenakitap","Organization","16"
"14132","#AyyıldızKolye","Product","16"
"14133","sosyal","Other","16"
"14134","medya","Other","16"
"14135","planlamaları","Other","16"
"14136","genç","Other","16"
"14137","ve","Other","16"
"14138","dinamik","Other","16"
"14139","kadrosuyla","Other","16"
"14140","piyasaya","Other","16"
"14141","hızla","Other","16"
"14142","giriş","Other","16"
"14143","yapan","Other","16"
"14145","Yeni Medya","Organization","16"
"14148","şirketi","Other","16"
"14149","@zone…","Organization","16"
"14151","RT","Other","17"
"14152","@rednexi3","Person","17"
"14154","#AyyıldızKolye","Product","17"
"14155","sevgi","Other","17"
"14156","işareti","Other","17"
"14159","RT","Other","18"
"14160","@SeherSal","Person","18"
"14162","#Ayyıldızkolye","Product","18"
"14164","teşekkürler","Other","18"
"14165","AHMET ŞAFAK","Person","18"
"14169","RT","Other","19"
"14170","@CanGnek","Person","19"
"14172","Bekle","Other","19"
"14173","bizi","Other","19"
"14174","#ayyıldızkolye","Product","19"
"14176","@ahmetsafak_tc","Person","19"
"14178","RT","Other","20"
"14179","@mrvpIt","Person","20"
"14181","Ahmet Safak","Person","20"
"14184","Ayyıldız Kolye","Product","20"
"14185","Sana","Other","20"
"14186","olan","Other","20"
"14187","aşkımı","Other","20"
"14188","Ay","Other","20"
"14189","Yıldız","Other","20"
"14190","Kolye","Other","20"
"14191","anlatsın","Other","20"
"14192","demiş","Other","20"
"14193","@ahmetsafak_tc","Person","20"
"14195","https","Other","20"
"14196","//t.co/MSyiW6UFuR","Other","20"
"14198","RT","Other","21"
"14199","@fatma_dd","Person","21"
"14201","Çok","Other","21"
"14202","bekledik","Other","21"
"14203","be","Other","21"
"14204","reis.","Other","21"
"14205","Ama","Other","21"
"14206","nihayet","Other","21"
"14207","geldi","Other","21"
"14208","#AyyıldızKolye","Product","21"
"14209",".Bundan","Other","21"
"14210","sonrasi","Other","21"
"14211","artık","Other","21"
"14212","bizde.","Other","21"
"14213","Haydi","Other","21"
"14214","hepimize","Other","21"
"14215","hayırlı","Other","21"
"14216","olsun","Other","21"
"14218","@ahmetsafak","Person","21"
"14220","RT","Other","22"
"14221","@ACIGMA_KUN","Person","22"
"14223","#AyyıldızKolye","Product","22"
"14224","Ahmet Şafak","Person","22"
"14226","imzası","Other","22"
"14227","ile","Other","22"
"14228","??afak","Person","22"
"14229","kalitesi","Other","22"
"14230","ile...\nHayırlı","Other","22"
"14231","uğurlu","Other","22"
"14232","@ahmetsafak_tc","Person","22"
"14234","RT","Other","23"
"14235","@vakit1985","Person","23"
"14237","Kiminin","Other","23"
"14238","hoşuna","Other","23"
"14239","kiminin","Other","23"
"14240","zoruna","Other","23"
"14241","gidecek","Other","23"
"14242","ama","Other","23"
"14243","hiçbir","Other","23"
"14244","gün","Other","23"
"14245","AY","Other","23"
"14246","YILDIZIMIZ","Other","23"
"14247","yere","Other","23"
"14248","inmeyecek..","Other","23"
"14249","@ahmetsafak_tc","Person","23"
"14250","@kusenakitap","Organization","23"
"14251","https","Other","23"
"14252","//t.co…","Other","23"
"14254","RT","Other","24"
"14255","@ALPARSLANADANA","Person","24"
"14257","Durduk","Other","24"
"14258","yerde","Other","24"
"14259","bu","Other","24"
"14260","#ayyıldızkolye","Product","24"
"14261","nerden","Other","24"
"14262","çıktı","Other","24"
"14263","diyorsun.","Other","24"
"14264","Ben","Other","24"
"14265","ki","Other","24"
"14266","Ayyıldız'a","Other","24"
"14267","Aşığım","Other","24"
"14268","...@ahmetsafak_tc","Person","24"
"14270","Hayırlı","Other","24"
"14271","Olsun","Other","24"
"14273","RT","Other","25"
"14274","@kurtbeyy_ccc","Person","25"
"14276","#AyyıldızKolye","Product","25"
"14277","Hayırlı","Other","25"
"14278","olsun","Other","25"
"14279","Yalnız","Other","25"
"14280","Kurt","Other","25"
"14281","@ahmetsafak_tc","Person","25"
"14282","abi.","Other","25"
"14284","RT","Other","26"
"14285","@79Omerayg","Person","26"
"14287","@mlkkaygusuz","Person","26"
"14288","@ahmetsafak_tc","Person","26"
"14289","Ahmet","Person","26"
"14290","abim","Other","26"
"14291","emek","Other","26"
"14292","vermiş","Other","26"
"14293","bizde","Other","26"
"14294","karşılığını","Other","26"
"14295","veririz","Other","26"
"14296","alim","Other","26"
"14297","allah","Other","26"
"14299","RT","Other","27"
"14300","@BekirB7","Person","27"
"14302","#AyyıldızKolye","Product","27"
"14303","hayırlı","Other","27"
"14304","olsun","Other","27"
"14305","abi","Other","27"
"14306","@ahmetsafak_tc","Person","27"
"14308","RT","Other","28"
"14309","@VatanOzsoy","Person","28"
"14311","#AyyıldızKolye","Product","28"
"14312","Vatan","Other","28"
"14313","yürekli","Other","28"
"14314","ruhların","Other","28"
"14315","boyunlarında","Other","28"
"14316","taşıdıkları","Other","28"
"14317","aşkın","Other","28"
"14318","adıdır.","Other","28"
"14319","Puslu","Other","28"
"14320","gözlerin","Other","28"
"14321","arkasındaki","Other","28"
"14322","yağmur","Other","28"
"14323","damlasıdır.…","Other","28"
"14325","RT","Other","29"
"14326","@shntsbsi","Person","29"
"14328","#AyyıldızKolye","Product","29"
"14329","hayırlı","Other","29"
"14330","uğurlu","Other","29"
"14331","olsun","Other","29"
"14332","@ahmetsafak_tc","Person","29"
"14334","abi","Other","29"
"14336","RT","Other","30"
"14337","@45Duz","Person","30"
"14339","@ahmetsafak_tc","Person","30"
"14340","başarılarının","Other","30"
"14341","devamini","Other","30"
"14342","ve","Other","30"
"14343","o","Other","30"
"14344","helal","Other","30"
"14345","şarkılarının","Other","30"
"14346","hiç","Other","30"
"14347","bitmemesi","Other","30"
"14348","yüreğimize","Other","30"
"14349","su","Other","30"
"14350","serpmesi","Other","30"
"14351","dileği","Other","30"
"14352","ile","Other","30"
"14353","yüreğine","Other","30"
"14354","sağlık","Other","30"
"14355","ab…","Other","30"
"14357","RT","Other","31"
"14358","@rumeeysaakgul","Person","31"
"14360","hayırlı","Other","31"
"14361","olsun","Other","31"
"14362","abim","Other","31"
"14363","#AyyıldızKolye","Other","31"
"14364","@ahmetsafak_tc","Person","31"
"14367","RT","Other","32"
"14368","@aseras363","Person","32"
"14370","#AyyıldızKolye","Product","32"
"14372","RT","Other","33"
"14373","@BarKabasakal","Person","33"
"14375","İste","Other","33"
"14376","bu","Other","33"
"14377","https","Other","33"
"14378","//t.co/bpm2vTzByF","Other","33"
"14380","RT","Other","34"
"14381","@tugbakcygt1","Person","34"
"14383","Ayyıldız Kolye","Product","34"
"14385","güzelliğine","Other","34"
"14386","güzellik","Other","34"
"14387","katsın\nSana","Other","34"
"14388","olan","Other","34"
"14389","aşkımı","Other","34"
"14390","Ayyıldız","Other","34"
"14391","Kolye","Other","34"
"14392","#AhmetŞafak","Person","34"
"14393","#AyyıldızKolye","Product","34"
"14394","RT","Other","35"
"14395","@burakptn","Person","35"
"14397","Ayyıldız Kolye","Product","35"
"14399","güzelliğine","Other","35"
"14400","güzellik","Other","35"
"14401","katsın","Other","35"
"14402","olan","Other","35"
"14403","aşkımı","Other","35"
"14404","Ayyıldız","Other","35"
"14405","Kolye","Other","35"
"14406","#AyyıldızKolye","Product","35"
"14407","@ahmetsafak_tc","Person","35"
"14408","RT","Other","36"
"14409","@maximilian137","Person","36"
"14411","#AyyıldızKolye","Product","36"
"14412","muvaffakiyetler","Other","36"
"14413","diler","Other","36"
"14414","ayyıldızı","Other","36"
"14415","başımıza","Other","36"
"14416","tac","Other","36"
"14417","diye","Other","36"
"14418","takarız..","Other","36"
"14420","RT","Other","37"
"14421","@vakit1985","Person","37"
"14423","Bir","Other","37"
"14424","ay","Other","37"
"14425","çiçeğinin","Other","37"
"14426","güneşe","Other","37"
"14427","bakışı","Other","37"
"14428","gibi","Other","37"
"14429","sevmeli","Other","37"
"14430","insan","Other","37"
"14431","memleketini..Hayırlı","Other","37"
"14432","olsun","Other","37"
"14433","agabeyim","Other","37"
"14434","Ay","Other","37"
"14435","Yıldızımız","Other","37"
"14436","@ahmetsafak_tc","Person","37"
"14437","https","Other","37"
"14438","//t…","Other","37"
"14440","RT","Other","38"
"14441","@kursattdemirci","Person","38"
"14443","Evet","Other","38"
"14444","dostlar.","Other","38"
"14445","#AyyıldızKolye","Product","38"
"14446","etiketiyle","Other","38"
"14447","paylaşım","Other","38"
"14448","yapıyoruz.","Other","38"
"14449","Albümümüzü","Other","38"
"14450","milyonlara","Other","38"
"14451","ulaştırıyoruz","Other","38"
"14452","inşallah.","Other","38"
"14454","RT","Other","39"
"14455","@kusenakitap","Organization","39"
"14457","Hemen","Other","39"
"14458","#AyyıldızKolye","Product","39"
"14459","etiketiyle","Other","39"
"14460","paylaşım","Other","39"
"14461","yapın","Other","39"
"14462","imzalı","Other","39"
"14463","albüm","Other","39"
"14464","kazanacak","Other","39"
"14465","5 kişiden biri","Percent","39"
"14468","olma","Other","39"
"14469","şansını","Other","39"
"14470","yakalayın!","Other","39"
"14472","RT","Other","40"
"14473","@kusenakitap","Organization","40"
"14475","#AyyıldızKolye","Product","40"
"14476","şuan","Other","40"
"14477","sadece","Other","40"
"14478","dijital","Other","40"
"14479","platformlardadır.","Other","40"
"14480","Cuma","Date","40"
"14481","günü","Other","40"
"14482","itibariyle","Other","40"
"14484","tüm","Other","40"
"14485","müzik","Other","40"
"14486","marketlerde","Other","40"
"14487","ve","Other","40"
"14488","D&R","Organization","40"
"14489","mağazalarında.","Other","40"
"14490","??im…","Other","40"
"14492","RT","Other","41"
"14493","@kusenakitap","Organization","41"
"14495","Ahmet Şafak'tan","Person","41"
"14497","mükemmel","Other","41"
"14498","bir","Other","41"
"14499","albüm","Other","41"
"14500","#AyyıldızKolye","Product","41"
"14501","tüm","Other","41"
"14502","dijital","Other","41"
"14503","platformlarda!","Other","41"
"14504","Hemen","Other","41"
"14505","ITunes","Organization","41"
"14506","ve","Other","41"
"14507","TTNet Müzik'e","Organization","41"
"14509","girin","Other","41"
"14510","ve","Other","41"
"14511","ilk","Other","41"
"14512","d…","Other","41"
"14514","RT","Other","42"
"14515","@ahmetsafak_tc","Person","42"
"14517","Ayyıldız Kolye","Product","42"
"14519","albümümüz","Other","42"
"14520","an","Other","42"
"14521","itibariyle","Other","42"
"14522","itunes","Other","42"
"14523","ve","Other","42"
"14524","tüm","Other","42"
"14525","dijital","Other","42"
"14526","alanlarda.Keyifle","Other","42"
"14527","ve","Other","42"
"14528","hissederek","Other","42"
"14529","dinleyeceğinize","Other","42"
"14530","em…","Other","42"
"14532","RT","Other","43"
"14533","@kursattdemirci","Person","43"
"14535","Nihayet","Other","43"
"14536","beklenen","Other","43"
"14537","vakit","Other","43"
"14538","geldi.","Other","43"
"14539","Ahmet Şafak'tan","Person","43"
"14541","mükemmel","Other","43"
"14542","bir","Other","43"
"14543","albüm","Other","43"
"14544","daha.","Other","43"
"14545","#AyyıldızKolye","Product","43"
"14546","an","Other","43"
"14547","itibariyle","Other","43"
"14549","ITunes\","Organization","43"
"14551","ve","Other","43"
"14552","tüm","Other","43"
"14553","di…","Other","43"
"14555","Ayyıldız Kolye","Product","44"
"14557","albümümüz","Other","44"
"14558","an","Other","44"
"14559","itibariyle","Other","44"
"14560","itunes","Organization","44"
"14561","ve","Other","44"
"14562","tüm","Other","44"
"14563","dijital","Other","44"
"14564","alanlarda.Keyifle","Other","44"
"14565","ve","Other","44"
"14566","hissederek","Other","44"
"14567","dinleyeceğini…","Other","44"
"14568","https","Other","44"
"14569","//t.co/LVIgqXw7hD","Other","44"
"14571","RT","Other","45"
"14572","@mlkkaygusuz","Person","45"
"14574","@ahmetsafak_tc","Person","45"
"14575","Sabırsızlıkla","Other","45"
"14576","beklediğimiz","Other","45"
"14578","albüm","Other","45"
"14579","Ayyıldız Kolye","Product","45"
"14581","23 Aralıkta","Date","45"
"14583","müzik","Other","45"
"14584","marketlerde.Yoksa","Other","45"
"14585","sizin","Other","45"
"14586","hala","Other","45"
"14587","ayyıldız","Other","45"
"14588","ko…","Other","45"
"14590","Ayyıldız Kolye","Product","46"
"14592","güzelliğine","Other","46"
"14593","güzellik","Other","46"
"14594","katsın\nSana","Other","46"
"14595","olan","Other","46"
"14596","aşkımı","Other","46"
"14597","Ayyıldız Kolye","Product","46"
"14599","anlatsın..","Other","46"
"14600","https","Other","46"
"14601","//t.co/w7fcLqimmg","Other","46"
"14603","RT","Other","47"
"14604","@ahmetsafak_tc","Person","47"
"14607","Ayyıldız Kolye","Product","47"
"14609","şarkımızın","Other","47"
"14610","klibini","Other","47"
"14611","Kral tv","Organization","47"
"14613","'ye","Other","47"
"14614","teslim","Other","47"
"14615","ettim.Cesur","Other","47"
"14616","kardeşime","Other","47"
"14617","ilgisinden","Other","47"
"14618","dolayı","Other","47"
"14619","çok","Other","47"
"14620","teşekkür","Other","47"
"14621","ederim.Klip","Other","47"
"14622","C…","Other","47"
"14625","Ayyıldız Kolye","Product","48"
"14627","şarkımızın","Other","48"
"14628","klibini","Other","48"
"14629","Kral tv","Organization","48"
"14631","'ye","Other","48"
"14632","teslim","Other","48"
"14633","ettim.Cesur","Other","48"
"14634","kardeşime","Other","48"
"14635","ilgisinden","Other","48"
"14636","dolayı","Other","48"
"14637","çok","Other","48"
"14638","teşekkür","Other","48"
"14639","ederim.K…","Other","48"
"14640","https","Other","48"
"14641","//t.co/ISLDmAoQO2","Other","48"
"14643","RT","Other","49"
"14644","@kusenakitap","Organization","49"
"14646","Ahmet Şafak","Person","49"
"14648","İmza Günü Söyleşi","Organization","49"
"14649","Kayseri Erciyes Üniversitesi","Location","49"
"14651","22 Aralık Perşembe","Date","49"
"14654","Saat 12:00","Date","49"
"14656","https","Other","49"
"14657","//t.co/rq7bzNMXT0","Other","49"
"14659","İnşAllah","Other","50"
"14660","22 Aralık'ta","Date","50"
"14662","Kayseri'de","Location","50"
"14663","olacağız.Gün","Other","50"
"14664","boyu","Other","50"
"14665","imza","Other","50"
"14666","günleri","Other","50"
"14667","ve","Other","50"
"14668","akşam","Other","50"
"14669","söyleşi","Other","50"
"14670","yapacağız.Birliğimiz","Other","50"
"14671","daim","Other","50"
"14672","olsun.","Other","50"
"14673","https","Other","50"
"14674","//t.co/yvC5zzMSGS","Other","50"
"14676","RT","Other","51"
"14677","@dbdevletbahceli","Person","51"
"14679","Büyük","Other","51"
"14680","Türk","Other","51"
"14681","düşünürü","Other","51"
"14682","Yusuf Has Hacip'in","Person","51"
"14685","şu","Other","51"
"14686","sözleri","Other","51"
"14687","hepimizin","Other","51"
"14688","rehberidir","Other","51"
"14690","“Onurla","Other","51"
"14691","insan","Other","51"
"14692","düşmanı","Other","51"
"14693","dağıtır","Other","51"
"14694","düşmandan","Other","51"
"14695","önce…","Other","51"
"14697","RT","Other","52"
"14698","@dbdevletbahceli","Person","52"
"14700","Çarşı","Other","52"
"14701","iznine","Other","52"
"14702","çıkmış","Other","52"
"14703","savunmasız","Other","52"
"14704","evlatlarımıza","Other","52"
"14705","kast","Other","52"
"14706","etmiş","Other","52"
"14707","korkak","Other","52"
"14708","ve","Other","52"
"14709","alçakların","Other","52"
"14710","Türkiye’yi","Location","52"
"14711","karıştırmasına","Other","52"
"14712","müsaade","Other","52"
"14713","etmeyiz…","Other","52"
"14715","RT","Other","53"
"14716","@dbdevletbahceli","Person","53"
"14718","??u","Other","53"
"14719","anda","Other","53"
"14720","muhtaç","Other","53"
"14721","olduğumuz","Other","53"
"14722","şey","Other","53"
"14723","merhum","Other","53"
"14724","Cemil Meriç'in","Person","53"
"14726","ifadesiyle","Other","53"
"14727","söyleyecek","Other","53"
"14728","olursam;","Other","53"
"14729","ölçüdür","Other","53"
"14730","dengedir","Other","53"
"14731","soğukkanlılıktır…","Other","53"
"14733","RT","Other","54"
"14734","@dbdevletbahceli","Person","54"
"14736","Bilesiniz","Other","54"
"14737","ki","Other","54"
"14738","Allah","Other","54"
"14739","bizimledir","Other","54"
"14740","çünkü","Other","54"
"14741","Allah","Other","54"
"14742","doğrunun","Other","54"
"14743","doğru","Other","54"
"14744","olanın","Other","54"
"14745","gönüllerin","Other","54"
"14746","yanındadır","Other","54"
"14747","yarım","Other","54"
"14748","kalan","Other","54"
"14749","ümitlerin…","Other","54"
"14751","RT","Other","55"
"14752","@dbdevletbahceli","Person","55"
"14754","Milletim","Other","55"
"14755","üzülmesin","Other","55"
"14756","hüzünlenmesin","Other","55"
"14757","kaygı","Other","55"
"14758","ve","Other","55"
"14759","korku","Other","55"
"14760","taşımasın","Other","55"
"14761","karamsarlığa","Other","55"
"14762","düşmesin.","Other","55"
"14763","Hiçbir","Other","55"
"14764","çıldırmış","Other","55"
"14765","istiklalimizi","Other","55"
"14766","sön…","Other","55"
"14768","RT","Other","56"
"14769","@dbdevletbahceli","Person","56"
"14771","Kürt","Other","56"
"14772","kökenli","Other","56"
"14773","kardeşlerim","Other","56"
"14774","de","Other","56"
"14775","terörün","Other","56"
"14776","cereme","Other","56"
"14777","ve","Other","56"
"14778","cefasını","Other","56"
"14779","çekmişlerdir.","Other","56"
"14780","Bombacı","Other","56"
"14781","canavarlara","Other","56"
"14782","en","Other","56"
"14783","kesif","Other","56"
"14784","tepkiyi","Other","56"
"14785","mutlaka","Other","56"
"14786","göst…","Other","56"
"14788","RT","Other","57"
"14789","@dbdevletbahceli","Person","57"
"14791","Huzursuzluk","Other","57"
"14792","ve","Other","57"
"14793","istikrarsızlık","Other","57"
"14794","kendi","Other","57"
"14795","içinde","Other","57"
"14796","yeni","Other","57"
"14797","cevaplar","Other","57"
"14798","üretecek","Other","57"
"14799","yeni","Other","57"
"14800","arayışlara","Other","57"
"14801","kapı","Other","57"
"14802","açacaktır.","Other","57"
"14803","Ve","Other","57"
"14804","bu","Other","57"
"14805","demokratik","Other","57"
"14806","sı…","Other","57"
"14808","RT","Other","58"
"14809","@dbdevletbahceli","Person","58"
"14811","Hainlerin","Other","58"
"14812","amacı","Other","58"
"14813","milli","Other","58"
"14814","aklı","Other","58"
"14815","karıştırmak","Other","58"
"14816","toplumsal","Other","58"
"14817","düzeni","Other","58"
"14818","baltalamak","Other","58"
"14819","herkesin","Other","58"
"14820","kendine","Other","58"
"14821","göre","Other","58"
"14822","kurguladığı","Other","58"
"14823","hak","Other","58"
"14824","arayışını","Other","58"
"14825","h…","Other","58"
"14827","RT","Other","59"
"14828","@dbdevletbahceli","Person","59"
"14830","İçimiz","Other","59"
"14831","yansa","Other","59"
"14832","da","Other","59"
"14833","provokasyonların","Other","59"
"14834","cazip","Other","59"
"14835","davetine","Other","59"
"14836","tamam","Other","59"
"14837","diyemeyiz.","Other","59"
"14838","Binaların","Other","59"
"14839","kundaklanmasını","Other","59"
"14840","doğru","Other","59"
"14841","ve","Other","59"
"14842","makul","Other","59"
"14843","göremeyiz.","Other","59"
"14845","RT","Other","60"
"14846","@dbdevletbahceli","Person","60"
"14848","Türkiye’nin","Location","60"
"14849","gündemini","Other","60"
"14850","katiller","Other","60"
"14851","belirleyemez.","Other","60"
"14852","Hassasiyetlerimizi","Other","60"
"14853","kaşıyarak","Other","60"
"14854","ülkemizi","Other","60"
"14855","iç","Other","60"
"14856","kargaşa","Other","60"
"14857","ve","Other","60"
"14858","çatışma","Other","60"
"14859","ortamına","Other","60"
"14860","sürü…","Other","60"
"14862","RT","Other","61"
"14863","@dbdevletbahceli","Person","61"
"14865","Hainler","Other","61"
"14866","sokakların","Other","61"
"14867","karışmasını","Other","61"
"14868","istiyor.","Other","61"
"14869","Dağda","Location","61"
"14870","yapamadıklarını","Other","61"
"14871","şehirlerde","Other","61"
"14872","görmeyi","Other","61"
"14873","umuyor.","Other","61"
"14874","Oyuna","Other","61"
"14875","gelemeyiz","Other","61"
"14876","oyunculara","Other","61"
"14877","k…","Other","61"
"14879","RT","Other","62"
"14880","@dbdevletbahceli","Person","62"
"14882","Terör","Other","62"
"14883","örgütleri","Other","62"
"14884","aralarında","Other","62"
"14885","kurduğu","Other","62"
"14886","zalim","Other","62"
"14887","ittifakla","Other","62"
"14888","Türkiye’ye","Location","62"
"14889","meydan","Other","62"
"14890","okuyor.","Other","62"
"14891","FETÖ’nün","Organization","62"
"14892","bıraktığı","Other","62"
"14893","yerden","Other","62"
"14894","PKK","Organization","62"
"14895","PYD","Organization","62"
"14896","ve","Other","62"
"14897","diğ…","Other","62"
"14899","Kayseri'de","Location","63"
"14900","hain","Other","63"
"14901","pusu","Other","63"
"14902",";","Other","63"
"14903","şehitlerimiz","Other","63"
"14904","var.Çok","Other","63"
"14905","üzgünüz.Askerlerimize","Other","63"
"14906","Allahtan","Other","63"
"14907","rahmet","Other","63"
"14908","diliyorum.Türk","Other","63"
"14909","Devleti","Other","63"
"14910","Milleti","Other","63"
"14911","diz","Other","63"
"14912","çökmez.","Other","63"
"14914","RT","Other","64"
"14915","@ugurgoktash","Person","64"
"14917","@ahmetsafak_tc","Person","64"
"14918","ağabeyimizin","Other","64"
"14919","sesiyle","Other","64"
"14920","yolculuk","Other","64"
"14921","yapmak..","Other","64"
"14922","\nhttps","Other","64"
"14923","//t.co/yBtr1PBzac","Other","64"
"14925","RT","Other","65"
"14926","@Leyli_LaL_25","Person","65"
"14928","Büyük","Other","65"
"14929","geceye","Other","65"
"14930","son","Other","65"
"14931","iki","Other","65"
"14932","gün","Other","65"
"14934","https","Other","65"
"14935","//t.co/iPlhL3pYVn","Other","65"
"14937","RT","Other","66"
"14938","@ahmetsafak_tc","Person","66"
"14940","Ayyıldız Kolye","Product","66"
"14941","Kolye","Other","66"
"14942","şarkımız","Other","66"
"14943","diyorki","Other","66"
"14946","en","Other","66"
"14947","hüzünlü","Other","66"
"14948","aşk","Other","66"
"14949","bir","Other","66"
"14950","şehidin","Other","66"
"14951","aşkıdır","Other","66"
"14955","https","Other","66"
